"","x_co_owned","x_southern_nj","x_central_nj","x_northeast_philadelphia","x_easton_philadelphia","x_st_wage_before","x_st_wage_after","x_hrs_open_weekday_before","x_hrs_open_weekday_after","y_ft_employment_before","y_ft_employment_after","d_nj","d_pa","x_burgerking","x_kfc","x_roys","x_wendys","x_closed_permanently"
"1",0,0,0,1,0,NA,4.3,16.5,16.5,40.5,24,0,1,1,0,0,0,0
"2",0,0,0,1,0,NA,4.45,13,13,13.75,11.5,0,1,0,1,0,0,0
"3",1,0,0,1,0,NA,5,10,11,8.5,10.5,0,1,0,1,0,0,0
"4",1,0,0,1,0,5,5.25,12,12,34,20,0,1,0,0,0,1,0
"5",1,0,0,1,0,5.5,4.75,12,12,24,35.5,0,1,0,0,0,1,0
"6",1,0,0,1,0,5,NA,12,12,20.5,NA,0,1,0,0,0,1,0
"7",0,0,0,0,1,5,4.75,18,18,70.5,29,0,1,1,0,0,0,0
"8",0,0,0,0,1,5,5,24,24,23.5,36.5,0,1,1,0,0,0,0
"9",1,0,0,0,1,5.25,5,10,11,11,11,0,1,0,1,0,0,0
"10",1,0,0,1,0,5,5,10,10.5,9,8.5,0,1,0,1,0,0,0
"11",1,0,0,0,1,5,4.75,12.5,12,15.5,17.5,0,1,0,0,1,0,0
"12",0,0,0,0,1,5,5,18,18,58,29,0,1,1,0,0,0,0
"13",0,0,0,0,1,5,4.5,18,18,26.5,30.5,0,1,1,0,0,0,0
"14",0,0,0,0,1,5.5,4.75,18,18,28.5,26,0,1,1,0,0,0,0
"15",0,0,0,0,1,5,4.5,12.5,13,13.5,18,0,1,1,0,0,0,0
"16",1,0,0,0,1,5.25,5,10,11,16.75,20,0,1,0,1,0,0,0
"17",1,0,0,0,1,5,4.75,10,11,9.5,13.5,0,1,0,1,0,0,0
"18",1,0,0,0,1,5,4.75,11.5,11,15,19,0,1,0,0,1,0,0
"19",0,0,0,0,1,5,4.75,16,15,29.5,15.5,0,1,0,0,1,0,0
"20",0,0,0,0,1,5,4.25,14,11.5,18.5,14.5,0,1,0,0,1,0,0
"21",1,0,0,0,1,5,5,16,16,20.25,14,0,1,0,0,1,0,0
"22",1,0,0,1,0,5,4.9,16,16,36,19,0,1,0,0,1,0,0
"23",0,0,0,0,1,5,5,15,16,21,21,0,1,0,0,1,0,0
"24",1,0,0,0,1,5,4.75,16,16,20.5,18,0,1,0,0,1,0,0
"25",1,0,0,0,1,5,5,12,12,19,20.5,0,1,0,0,0,1,0
"26",1,0,0,0,1,5,4.25,16,15.5,14,13.5,0,1,0,0,1,0,0
"27",1,0,0,0,1,5,4.75,16,16,19,17.5,0,1,0,0,1,0,0
"28",0,0,0,1,0,4.25,4.25,16.5,16.5,32.5,25.5,0,1,1,0,0,0,0
"29",0,0,0,1,0,4.25,NA,17.5,16.5,19,15.5,0,1,1,0,0,0,0
"30",0,0,0,1,0,4.25,4.25,16.5,17.5,27,25.5,0,1,1,0,0,0,0
"31",0,0,0,1,0,4.25,4.25,16.5,17.5,19.5,27,0,1,1,0,0,0,0
"32",0,0,0,1,0,4.5,4.25,16.5,16.5,24,16,0,1,1,0,0,0,0
"33",0,0,0,1,0,4.25,4.25,16,17.5,18,19,0,1,1,0,0,0,0
"34",0,0,0,1,0,4.5,4.25,17,18,NA,24.5,0,1,1,0,0,0,0
"35",0,0,0,1,0,4.25,4.38,14,14,19,25,0,1,1,0,0,0,0
"36",0,0,0,1,0,4.5,4.75,12,13,14,17,0,1,0,1,0,0,0
"37",0,0,0,1,0,4.25,4.25,13,13,10.5,16.5,0,1,0,1,0,0,0
"38",1,0,0,1,0,4.67,4.5,12,12,38,20,0,1,0,0,0,1,0
"39",1,0,0,1,0,4.75,4.5,12,12,23.5,18,0,1,0,0,0,1,0
"40",0,0,0,1,0,4.25,4.25,10.5,10.5,10.5,12,0,1,0,0,0,1,0
"41",0,0,0,1,0,4.25,4.25,11.5,12,25,25,0,1,0,0,0,1,0
"42",1,0,0,0,1,4.75,4.25,10,11,11,11,0,1,0,1,0,0,0
"43",0,0,0,1,0,4.25,4.25,15,16,36.5,27,0,1,1,0,0,0,0
"44",0,0,0,1,0,4.5,5.05,16,16,52.5,34,0,1,1,0,0,0,0
"45",0,0,0,1,0,4.25,NA,16,16,29,25,0,1,1,0,0,0,0
"46",0,0,0,1,0,4.25,4.25,16,16,45,37.5,0,1,1,0,0,0,0
"47",0,0,0,1,0,4.25,4.25,15.5,15.5,22.75,21,0,1,1,0,0,0,0
"48",0,0,0,1,0,4.25,4.25,8,9,7.5,9.5,0,1,0,1,0,0,0
"49",0,0,0,1,0,4.25,NA,11.5,11.5,15.5,18,0,1,0,0,0,1,0
"50",0,0,0,1,0,4.25,4.25,11.5,11.5,38,18,0,1,0,0,0,1,0
"51",0,0,0,1,0,4.25,4.35,11.5,11.5,17.5,19,0,1,0,0,0,1,0
"52",0,0,0,1,0,4.25,4.5,12.5,11.5,25,31.5,0,1,0,0,0,1,0
"53",0,0,0,0,1,4.5,5,18,18,NA,23,0,1,1,0,0,0,0
"54",0,0,0,0,1,4.75,4.5,18,18,21,24.5,0,1,1,0,0,0,0
"55",0,0,0,0,1,4.87,5,18,18,15.5,27.5,0,1,1,0,0,0,0
"56",0,0,0,0,1,4.75,4.75,16.5,18,15.5,34.5,0,1,1,0,0,0,0
"57",1,0,0,0,1,4.5,5,10,11,8.5,14,0,1,0,1,0,0,0
"58",1,0,0,0,1,4.25,4.35,16,15,18,15,0,1,0,0,1,0,0
"59",0,0,0,0,1,4.75,NA,11.5,11.5,20.75,23,0,1,0,0,0,1,0
"60",0,0,0,0,1,4.25,4.25,18,18,39,26.5,0,1,1,0,0,0,0
"61",0,0,0,0,1,4.25,4.9,16.5,17,41.5,23.5,0,1,1,0,0,0,0
"62",0,0,0,0,1,4.75,4.5,17,17,22.5,35.5,0,1,1,0,0,0,0
"63",0,0,0,0,1,4.5,4.5,15,15,32,21,0,1,1,0,0,0,0
"64",0,0,0,1,0,4.25,4.75,18,18,24,23,0,1,1,0,0,0,0
"65",0,0,0,0,1,4.25,6.25,16.5,17,26,20,0,1,1,0,0,0,0
"66",0,0,0,1,0,4.5,4.35,19,18,48.5,27,0,1,1,0,0,0,0
"67",1,0,0,0,1,4.5,4.5,10,11,8.5,13,0,1,0,1,0,0,0
"68",0,0,0,0,1,4.5,NA,13,NA,18.5,0,0,1,0,0,1,0,1
"69",1,0,0,0,1,4.5,4.5,12.5,12.5,13,13.5,0,1,0,0,1,0,0
"70",1,0,0,0,1,4.5,NA,12,12,22.5,NA,0,1,0,0,0,1,0
"71",1,0,0,0,1,4.75,5,12,12,28,26.75,0,1,0,0,0,1,0
"72",0,0,0,0,1,4.25,4.75,16.5,18,24.5,43.5,0,1,1,0,0,0,0
"73",0,0,0,0,1,4.75,4.5,16.5,18,18.5,41.25,0,1,1,0,0,0,0
"74",1,0,0,0,1,4.25,NA,16,15,23.5,14.25,0,1,0,0,1,0,0
"75",1,0,0,0,1,4.75,4.75,16.5,15,15,12.5,0,1,0,0,1,0,0
"76",0,0,0,0,1,4.5,4.25,16,16,18,34,0,1,0,0,1,0,0
"77",1,0,0,0,1,4.75,4.91,16,14,20.25,10,0,1,0,0,1,0,0
"78",0,0,0,1,0,4.25,4.4,16.5,16,15.5,14,0,1,1,0,0,0,0
"79",0,0,0,1,0,4.35,4.25,16,16,21,17.5,0,1,1,0,0,0,0
"80",0,0,1,0,0,NA,5.05,16,16,15,27,1,0,1,0,0,0,0
"81",0,0,1,0,0,NA,5.05,14.5,14,15,21.5,1,0,1,0,0,0,0
"82",0,0,1,0,0,NA,5.05,12.5,11.5,24,23,1,0,0,0,1,0,0
"83",1,0,0,0,0,NA,5.05,11.5,11.5,19.25,21.5,1,0,0,0,1,0,0
"84",0,0,0,0,0,NA,5.05,17,17,21.5,34.5,1,0,1,0,0,0,0
"85",0,0,0,0,0,NA,5.05,11,11,9.5,10.5,1,0,0,1,0,0,0
"86",0,0,0,0,0,NA,5.05,12,12,44,16.5,1,0,0,0,0,1,0
"87",0,0,0,0,0,NA,5.05,16,16,NA,23,1,0,1,0,0,0,0
"88",0,0,0,0,0,NA,5.05,17,18,21,38,1,0,1,0,0,0,0
"89",0,1,0,0,0,NA,5.25,16,15,28,36,1,0,0,0,0,1,0
"90",0,1,0,0,0,NA,NA,14,14,10,16,1,0,0,0,0,1,0
"91",0,0,0,0,0,NA,5.05,16,16,20.5,20.5,1,0,1,0,0,0,0
"92",1,0,0,0,0,NA,5.05,17,18,25.5,19,1,0,0,0,1,0,0
"93",0,0,0,0,0,NA,5.05,11.5,11.5,19,53,1,0,0,0,0,1,0
"94",0,1,0,0,0,NA,5.05,16,16,16.5,16.5,1,0,1,0,0,0,0
"95",1,1,0,0,0,NA,5.05,17,17,17,16.5,1,0,1,0,0,0,0
"96",1,0,0,0,0,NA,5.05,19,18.5,27.5,45,1,0,1,0,0,0,0
"97",1,0,1,0,0,5,5.05,7,8,5,8,1,0,0,0,1,0,0
"98",0,0,1,0,0,5.12,5.05,11,11,16,15.5,1,0,0,1,0,0,0
"99",0,0,0,0,0,5.56,5.05,16,16,41.5,24,1,0,1,0,0,0,0
"100",1,0,1,0,0,5,5.05,10,10,13,7.5,1,0,0,1,0,0,0
"101",0,0,0,0,0,5,5.05,10,10,10,7.5,1,0,0,1,0,0,0
"102",0,0,1,0,0,5.25,5.05,11,12.5,15,18.5,1,0,0,1,0,0,0
"103",0,0,0,0,0,5,5.05,17,17,26,16.5,1,0,0,0,1,0,0
"104",0,0,1,0,0,5.5,5.05,13,12.5,18,33.5,1,0,0,0,0,1,0
"105",0,0,0,0,0,5,5.05,19,19,35,37,1,0,0,0,1,0,0
"106",1,0,0,0,0,5,5.05,17,16,21,18,1,0,0,0,1,0,0
"107",0,0,0,0,0,5,5.05,12,11.5,34.5,26.5,1,0,0,0,0,1,0
"108",0,0,0,0,0,5,5.05,13.5,13.5,18.25,33,1,0,0,0,0,1,0
"109",0,0,0,0,0,5,5.05,13.5,14,24.5,NA,1,0,0,0,0,1,0
"110",0,0,1,0,0,5.5,5.05,12.5,12.5,20,20.5,1,0,1,0,0,0,0
"111",1,0,1,0,0,5,5.5,16,16,16,24.5,1,0,1,0,0,0,0
"112",0,0,1,0,0,5,5.05,10,10,17.5,16,1,0,0,1,0,0,0
"113",0,0,0,0,0,5,5.05,11.5,12.5,20.5,NA,1,0,0,0,0,1,0
"114",0,0,0,0,0,5,5.05,14,12.5,20,23.5,1,0,0,0,0,1,0
"115",1,0,1,0,0,5,5.05,11,11,12.25,13,1,0,0,1,0,0,0
"116",0,0,1,0,0,5.25,5.05,16,16,33,20,1,0,0,0,1,0,0
"117",0,0,1,0,0,5.5,5.05,17,15,31.5,22,1,0,0,0,1,0,0
"118",0,0,1,0,0,5.5,5.5,12.5,12,NA,28.5,1,0,0,0,0,1,0
"119",0,0,1,0,0,5.37,NA,11.5,NA,18,NA,1,0,0,0,0,1,0
"120",0,0,1,0,0,5.05,5.05,12.5,12.5,28,25.5,1,0,0,0,0,1,0
"121",0,0,0,0,0,5,5.28,16,16,16.5,18,1,0,1,0,0,0,0
"122",0,0,0,0,0,5.12,5.25,14,14,14.75,9,1,0,1,0,0,0,0
"123",0,0,0,0,0,5.25,5.05,17,17,23.5,26.5,1,0,1,0,0,0,0
"124",0,0,0,0,0,5,NA,15,NA,10,0,1,0,1,0,0,0,1
"125",0,0,0,0,0,5.12,5.05,15,15,46.5,23.75,1,0,1,0,0,0,0
"126",0,0,0,0,0,5,5.5,12,11,15.5,18,1,0,0,1,0,0,0
"127",1,0,0,0,0,5,5.05,17,17,24.5,36,1,0,0,0,1,0,0
"128",1,0,0,0,0,5,5.05,16.5,15,24,21,1,0,0,0,1,0,0
"129",1,0,0,0,0,5,5.05,19,17,23,15.5,1,0,0,0,1,0,0
"130",0,0,0,0,0,5,5.05,12.5,12.5,28,22.5,1,0,0,0,0,1,0
"131",1,0,0,0,0,5,5.05,16,16,32.5,27,1,0,1,0,0,0,0
"132",1,0,0,0,0,5,5.05,16,16,23,34,1,0,1,0,0,0,0
"133",0,0,0,0,0,5.62,5.05,15,15,17,16.75,1,0,0,0,1,0,0
"134",1,0,0,0,0,5,5.05,16,15,30,26,1,0,0,0,1,0,0
"135",1,0,0,0,0,5,5.05,11.5,12.5,21.5,18,1,0,0,0,0,1,0
"136",0,0,0,0,0,5,5.05,17,17,32,20.5,1,0,1,0,0,0,0
"137",0,0,0,0,0,5,5.05,16,16,8,15,1,0,1,0,0,0,0
"138",1,0,0,0,0,5.1,5.05,17,17,35.5,25.5,1,0,0,0,1,0,0
"139",0,0,0,0,0,5,5.05,16,16,31.5,NA,1,0,0,0,1,0,0
"140",1,0,0,0,0,5.25,5.05,17,16,33,20,1,0,0,0,1,0,0
"141",0,0,0,0,0,5.5,5.05,13.5,13,22,18,1,0,0,0,1,0,0
"142",0,1,0,0,0,5,5.05,14.5,14.5,23,26.5,1,0,1,0,0,0,0
"143",1,1,0,0,0,5,5.05,15,15,23,23.25,1,0,1,0,0,0,0
"144",1,1,0,0,0,5,5.05,11,12,8.5,10.5,1,0,0,1,0,0,0
"145",1,1,0,0,0,5.05,5.25,11,12,12.5,12,1,0,0,1,0,0,0
"146",1,1,0,0,0,5.5,5.05,10,11,9.5,9.5,1,0,0,1,0,0,0
"147",1,1,0,0,0,5,5.05,10.5,12,13,15.5,1,0,0,1,0,0,0
"148",1,0,0,0,0,5.3,5.05,16,16,17,14.5,1,0,1,0,0,0,0
"149",1,0,0,0,0,5,5.05,11.5,11.5,9,14,1,0,0,1,0,0,0
"150",1,0,0,0,0,5,5.05,10.5,10.5,19,6.5,1,0,0,1,0,0,0
"151",0,1,0,0,0,5,5.05,12,11,11.5,10,1,0,0,1,0,0,0
"152",0,1,0,0,0,5,5.05,12.5,12,13,11.5,1,0,0,1,0,0,0
"153",0,1,0,0,0,5.25,5.05,24,24,48,46.5,1,0,0,0,1,0,0
"154",1,1,0,0,0,5.15,5.05,24,24,45.5,26.5,1,0,0,0,1,0,0
"155",0,1,0,0,0,5.42,5.67,15.5,14.5,15,16,1,0,0,0,0,1,0
"156",0,1,0,0,0,5,5.05,12.5,12.5,18,13,1,0,1,0,0,0,0
"157",1,1,0,0,0,5,5.05,16,15,21,14,1,0,0,0,1,0,0
"158",0,1,0,0,0,5.06,5.05,10.5,10.5,20.5,15.5,1,0,0,0,0,1,0
"159",0,1,0,0,0,5.05,5.05,11.5,11.5,20.5,18,1,0,0,0,0,1,0
"160",0,0,0,0,0,5,5.25,11.5,12.5,17.5,27,1,0,0,0,0,1,0
"161",0,0,0,0,0,5,5.25,16,16,27.5,27,1,0,1,0,0,0,0
"162",1,0,0,0,0,5,5.05,15.5,15.5,24,29.5,1,0,1,0,0,0,0
"163",0,0,0,0,0,5.25,5.5,15,15,34,16.5,1,0,1,0,0,0,0
"164",1,0,0,0,0,5,5.05,18.5,19,18,31.5,1,0,1,0,0,0,0
"165",0,0,0,0,0,5,5.05,16.5,16.5,24,27.5,1,0,1,0,0,0,0
"166",1,0,0,0,0,5.05,5.05,18,16,NA,25.5,1,0,0,0,1,0,0
"167",1,0,0,0,0,5,5.5,11.5,12.5,33.5,32,1,0,0,0,0,1,0
"168",1,0,0,0,0,5.75,5.5,10.5,10.5,12,14.5,1,0,0,0,0,1,0
"169",0,0,0,0,0,5,5.05,15,15,35,10.5,1,0,1,0,0,0,0
"170",0,0,1,0,0,4.5,5.05,16,16,35,44,1,0,1,0,0,0,0
"171",0,0,1,0,0,4.75,5.25,14,15,16,15.5,1,0,1,0,0,0,0
"172",0,0,1,0,0,4.25,5.05,10,11,15.5,10.5,1,0,0,1,0,0,0
"173",0,0,1,0,0,4.75,5.05,12.5,13.5,19,24,1,0,0,0,1,0,0
"174",0,0,1,0,0,4.5,5.15,17,17,24,29,1,0,0,0,1,0,0
"175",0,0,1,0,0,4.8,5.05,12,13,NA,30.5,1,0,0,0,0,1,0
"176",0,0,1,0,0,4.37,5.05,16,16,36,20,1,0,1,0,0,0,0
"177",0,0,1,0,0,4.25,5.05,16,16,29,26.5,1,0,1,0,0,0,0
"178",0,0,1,0,0,4.25,5.05,16,16,29,27,1,0,1,0,0,0,0
"179",0,0,1,0,0,4.37,5.05,16,16,21.25,26.5,1,0,1,0,0,0,0
"180",0,0,1,0,0,4.5,5,10,11,15.5,10.5,1,0,0,1,0,0,0
"181",0,0,1,0,0,4.6,5.05,17,17,19.5,18,1,0,0,0,1,0,0
"182",0,0,1,0,0,4.5,5.05,17,17,21,18.5,1,0,0,0,1,0,0
"183",0,0,1,0,0,4.37,5.05,17,17,14,25.5,1,0,0,0,1,0,0
"184",0,0,1,0,0,4.25,5.05,17,17,30.5,32,1,0,0,0,1,0,0
"185",0,1,0,0,0,4.25,5.05,16,16,23.5,33,1,0,1,0,0,0,0
"186",0,1,0,0,0,4.45,5.05,10.5,10,14,7.5,1,0,0,1,0,0,0
"187",0,1,0,0,0,4.35,5.05,16,15,14.5,12.5,1,0,0,0,1,0,0
"188",0,0,0,0,0,4.5,5.05,16,16.5,15.5,24,1,0,1,0,0,0,0
"189",0,0,1,0,0,4.75,5.05,16,NA,26.5,29,1,0,1,0,0,0,0
"190",0,0,0,0,0,4.5,NA,10,10,8,10,1,0,0,1,0,0,0
"191",0,0,0,0,0,4.5,5.05,11,11,5.5,9.5,1,0,0,1,0,0,0
"192",0,0,0,0,0,4.5,5.05,11.5,11.5,23.25,17.5,1,0,0,0,1,0,0
"193",1,0,0,0,0,4.95,5.05,11.5,11.5,15.5,17.5,1,0,0,0,1,0,0
"194",0,0,0,0,0,4.5,5.05,11.5,11.5,32.25,25,1,0,0,0,0,1,0
"195",0,0,1,0,0,4.25,5.05,17,17.5,30,26,1,0,1,0,0,0,0
"196",1,0,0,0,0,4.25,5.05,18,18,NA,24,1,0,1,0,0,0,0
"197",0,0,0,0,0,4.5,5.05,16,16,30.5,22.5,1,0,1,0,0,0,0
"198",0,0,0,0,0,4.8,5.05,15.5,NA,14,NA,1,0,1,0,0,0,0
"199",0,0,0,0,0,4.25,5.05,17,17,27,35,1,0,1,0,0,0,0
"200",0,0,0,0,0,4.5,5.05,13.5,13.5,18.5,17.75,1,0,1,0,0,0,0
"201",0,0,0,0,0,4.25,5.05,17,17,38,24.5,1,0,1,0,0,0,0
"202",0,0,0,0,0,4.25,5.05,18,18,16.5,16.5,1,0,1,0,0,0,0
"203",0,0,0,0,0,4.5,5.05,16,16,50,30,1,0,1,0,0,0,0
"204",0,0,0,0,0,4.75,5.05,17,17,20.5,39,1,0,1,0,0,0,0
"205",0,0,0,0,0,4.25,5.05,12,11,6.5,17,1,0,0,1,0,0,0
